GA,Worth,21214,228,210
HI,Hawaii,177835,2691,1443
HI,Honolulu,907574,13380,6897
HI,Kalawao,83,0,2
HI,Kauai,64529,914,469
HI,Maui,145157,2108,981
IA,Adair,7350,74,102
IA,Adams,3930,37,56
IA,Allamakee,14407,199,133
IA,Appanoose,12698,166,168
IA,Audubon,6032,79,91
IA,Benton,26734,317,226
IA,Black Hawk,129276,1768,1101
IA,Boone,26072,313,274
IA,Bremer,23460,280,213
IA,Buchanan,20910,318,204
IA,Buena Vista,19601,289,180
IA,Butler,14341,178,195
IA,Calhoun,9671,100,135
IA,Carroll,20674,277,233
IA,Cass,13758,173,194
IA,Cedar,18006,211,176
IA,Cerro Gordo,43609,497,514
IA,Cherokee,11409,107,169
IA,Chickasaw,12017,159,129
IA,Clarke,9086,142,97
IA,Clay,16617,212,194
IA,Clayton,17463,210,201
IA,Clinton,48934,593,527
IA,Crawford,16416,232,165
IA,Dallas,61950,987,325
IA,Davis,8562,139,85
IA,Decatur,8231,109,88
IA,Delaware,17205,198,158
IA,Des Moines,41058,522,412
IA,Dickinson,16623,186,193
IA,Dubuque,93072,1218,834
IA,Emmet,10241,143,135
IA,Fayette,20164,231,246
IA,Floyd,15910,203,184
IA,Franklin,10540,129,133
IA,Fremont,7345,88,99
IA,Greene,9251,104,118
IA,Grundy,12177,135,133
IA,Guthrie,10833,123,138
IA,Hamilton,15238,168,159
IA,Hancock,11046,129,112
IA,Hardin,17144,217,231
IA,Harrison,15328,172,174
IA,Henry,19929,239,198
IA,Howard,9410,123,105
IA,Humboldt,9473,118,121
IA,Ida,6762,82,89
IA,Iowa,15811,206,152
IA,Jackson,19728,204,226
IA,Jasper,36257,428,365
IA,Jefferson,15472,162,155
IA,Johnson,131005,1720,596
IA,Jones,20364,242,194
IA,Keokuk,10562,120,123
IA,Kossuth,15154,170,183
IA,Lee,35447,382,398
IA,Linn,209226,2914,1498
IA,Louisa,11245,141,113
IA,Lucas,9179,102,114
IA,Lyon,11172,164,117
IA,Madison,15409,220,128
IA,Mahaska,22000,285,207
IA,Marion,32682,411,336
IA,Marshall,39259,621,476
IA,Mills,15002,190,134
IA,Mitchell,10781,137,151
IA,Monona,8882,90,154
IA,Monroe,7549,92,101
IA,Montgomery,10796,121,147
IA,Muscatine,42934,619,385
IA,O'Brien,13928,182,192
IA,Osceola,6344,80,74
IA,Page,15260,168,224
IA,Palo Alto,9279,121,127
IA,Plymouth,24210,327,234
IA,Pocahontas,7346,88,106
IA,Polk,429439,6708,2969
IA,Pottawattamie,90224,1244,875
IA,Poweshiek,18423,186,213
IA,Ringgold,4944,63,72
IA,Sac,10059,115,154
IA,Scott,166650,2301,1268
IA,Shelby,11957,113,146
IA,Sioux,32244,515,267
IA,Story,87214,1034,494
IA,Tama,17377,242,177
IA,Taylor,6344,74,86
IA,Union,12241,163,157
IA,Van Buren,7679,94,86
IA,Wapello,35334,475,406
IA,Warren,45275,586,373
IA,Washington,21258,297,245
IA,Wayne,6283,86,92
IA,Webster,38346,486,437
IA,Winnebago,10602,121,125
IA,Winneshiek,20629,198,189
IA,Woodbury,102831,1616,872
IA,Worth,7541,88,84
IA,Wright,12716,168,161
ID,Ada,384656,5804,2243
ID,Adams,3520,40,27
ID,Bannock,82539,1515,577
ID,Bear Lake,5774,76,60
ID,Benewah,9258,118,102
ID,Bingham,44668,851,270
